-- Este es un ejemplo para la creacion de DataSET
-- Para la clase de Fundamentos de Bases de Datos
group: ventas

ARTICULOS = {
artId:number, artNombre:string, artColor:string, artPrecio:number, fkidProv:number
1, 'TIPO TALLER CABLEDROP 2X1.5', 'AZUL', 55, 14
2, 'PALA GRIS', 'AMARILLO', 162, 1
3, 'ARGOS GRIS', 'ROSA', 10, 2
4, 'BACO NEGRO', 'NEGRO', 20, 3
5, 'IVIX NEGRO', 'VIOLETA', 10, 4
6, 'LAYO NEGRO', 'MARRON', 30, 5
7, 'ZEUS NEGRO', 'ROJO', 40, 6
8, 'DIANA NEGRO', 'BLANCO', 50, 7
9, 'FASTIX 300G', 'BEIGE', 44, 29
10, 'FILIO NEGRO', 'AMARILLO', 2, 1
11, 'GOLGO NEGRO', 'NEGRO', 33, 33
12, 'IVIX/2NEGRO EX-3037N', 'BLANCO', 54, 11
13, 'LAYO BLANCO', 'AZUL', 41, 12
14, 'MIDAS TORTUGA  EX 3035', 'NEGRA', 30, 1
15, 'NEON CIOCCA', 'ROJO', 20, 23
16, 'PALAS NEGRO', 'CYAN', 22, 1
17, 'VESTA NEGRO', 'MAGENTA', 65, 23
18, 'APOLOS NEGRO', 'AZUL', 440, 24
19, 'CLIO/1 NEGRO EX 3032/N', 'ROJO', 230, 25
20, 'CLIO/2 NEGRO 3034/N', 'AZUL', 10, 26
21, 'CRONOS NEGRO', 'VIOLETA', 89, 27
22, 'CUADRA NEGRO', 'VERDE', 44, 28
23, 'DIANA BLANCO', 'VERDE', 22, 29
24, 'ENERGIZER AA', 'VERDE', 340, 30
25, 'FEBO/L NEGRO', 'VERDE', 530, 4
26, 'FEBO/S NEGRO', 'VERDE', 222, 5
27, 'IVIX/F NEGRO', 'VERDE', 12, 6
28, 'IVIX/J NEGRO', 'VERDE', 22, 7
29, 'MAYA/1 NEGRO', 'VERDE', 87, 8
30, 'MAYA/2 NEGRO', 'VERDE', 660, 9
31, 'PALAS BLANCO', 'VERDE', 540, 37
32, 'PETRA/2 GRIS', 'VERDE', 432, 38
33, 'PISCIS NEGRO', 'VERDE', 10, 39
34, 'POXITAS 12 U', 'VERDE', 20, 29
35, 'TARUGOS Nº 5', 'AZUL', 33, 34
36, 'TARUGOS Nº 6 COMUN S/ TOPE', 'AMARILLO', 18, 16
37, 'TARUGOS Nº 8 COMUN S/TOPE', 'CADMINO', 20, 1
38, 'APOLO/L NEGRO', 'ROSA', 33, 17
39, 'CIRCE/1 NEGRO EX 3031', 'AZUL', 210, 40
40, 'CIRCE/2 NEGRO EX 3033', 'AMARILLO', 11, 41
41, 'ENERGIZER A27', 'ROSA', 439, 42
42, 'ENERGIZER AAA', 'NEGRO', 321, 43
43, 'MIDAS/D NEGRO', 'VIOLETA', 344, 45
44, 'MIDAS/REJAS NEGRO', 'MARRON', 654, 46
45, 'ORION/2 NEGRO 3039/N-LG', 'ROJO', 2220, 47
46, 'ORION/A NEGRO 3038/N-LG', 'BLANCO', 234, 48
47, 'ORION/F NEGRO', 'BEIGE', 20, 1
48, 'ORION/J NEGRO', 'AMARILLO', 10, 1
49, 'TARUGOS Nº 10', 'NEGRO', 20, 34
50, 'TARUGOS Nº 12', 'BLANCO', 30, 34
}

CLIENTES ={
cliId:number, cliNombre:string
1, 'CONSUMIDOR FINAL'
2, 'VORENO PABLA'
3, 'POMEZ FABIAN'
4, 'VELLA JUAN JOSG'
5, 'ALFARO MARIA Y ALFARO MARCELA'
6, 'PUIÑAZU CARLOL'
7, 'ROLA DANIEL HUGA'
8, 'VAVA NESTOR SEBASTIAN'
9, 'ARQUIZA SERGIA'
10, 'ZANETTI LUCAL'
11, 'PORDOBA ARIEL'
12, 'POLOMBO DOMENICA'
13, 'PALESTINI MARTIN'
14, 'PABAÑAS EL MAITEN'
15, 'POMES GABRIEL'
16, 'Pustavo - Cristina'
17, 'Irigoyen Mario TorreL'
18, 'RARRIONUEVO JOSG'
19, 'LECUONA ROBERTA'
20, 'VUNICIPALIDAD DE LOS MOLLEL'
21, 'VUNICIPALIDAD DE MERLA'
22, 'ALANIZ DANIEL'
23, 'ARGUELLO GUILLERMA'
24, 'RADRA GONZALA'
25, 'LOYOLA  ALEJANDRA'
26, 'PALLEGARI JULIAN'
27, 'PORIA RICARDA'
28, 'PURA SERGIA'
29, 'PONSORCIO CHUMA'
30, 'CORRES DEL SOL S.R.L'
31, 'HELADERIA MORANGA'
32, 'VERON ANA MARIA'
33, 'RANCO NACION ARGENTINA'
34, 'LEON ESTELA'
35, 'PALACIO ROBERTA'
36, 'DON RAFAEL - JUANCITA'
37, 'DANGELO FLAVIO MARIA'
38, 'DAL DOSSO SANTIEGA'
39, 'ZENI SALVADOR'
40, 'ARQUIZA JORGG'
41, 'EL CORTIJA'
42, 'EGUADAS DEL ZORRO DE ANGELI Y SEOANE S.H.'
43, 'Recerra FlaviA'
44, 'LOPEZ EDGARDO DEL ROSARIA'
45, 'RAROFFIO  ANIBAL'
46, 'Asociacion Vecinal Siempre VerdG'
47, 'Sucesion de Ratto Ruben Omar'
48, 'EME CONSTRUCCIONES S.R.L.'
49, 'Villalba Juan JosG'
50, 'ORG. GUTIERREZ SOCIEDAD EN FORMACION'
51, 'RUTA UNO SRL'
52, 'Vonteleone RobertA'
53, 'PEREYRA NUÑEZ RUBEN MARTIN'
54, 'PORRALES MARIANA'
55, 'EMPRES DISTRIB. SAN LUIS EDESAL S.A.'
56, 'VAIRAL S.R.L.'
57, 'PESANELLI ENZO MARCELA'
58, 'LETTIERI JUAN EDUARDA'
59, 'PRASSO JORGE EDUARDA'
60, 'LEGe LeopoldA'
61, 'VORAN RAMON - HACIENDA PROPIEDADEL'
62, 'Diaz Alejandro Adrian'
63, 'VALLE DEL SOL'
64, 'PACK ANDREL'
65, 'Picos Julian'
66, 'FERRARO PASCUAL'
67, 'SLOTS MACHINES S.A.'
68, 'FALCO PABLA'
69, 'OSDE FILIAL SAN LUIL'
70, 'Leliveld Gustavo TomaL'
71, 'POMIS ALFREDA'
72, 'Andreoli Juan Ignacio '
73, 'POMETTO MATIAL'
74, 'RORDA GUSTAVA'
75, 'PIORDANO JORGG'
76, 'PICCININI EZEQUIEL ESTEBAN'
77, 'VALANO RAUL'
78, 'ORTIZ ROBERTA'
79, 'PARAVATI SRL'
80, 'POOP. EGUA POTABLE DE MERLA'
81, 'ATENCIA ALBERTA'
82, 'CRANSPORTE ALTAMIRANA'
83, 'SOLIGO JAVIER'
84, 'RIPKE NATALIA SILVINA'
